chkpt: 112 epoch: 0 step: 201 score: -21.999999999999986 loss: -0.21608419716358185 entropy: 0.007414371706545353 action: tensor([-7.5270,  1.1417])
chkpt: 112 epoch: 1 step: 201 score: 23.79999999999997 loss: -0.3278689682483673 entropy: -0.02120739407837391 action: tensor([-20.4263,  -0.5925])
chkpt: 112 epoch: 2 step: 201 score: -18.599999999999994 loss: 0.45971065759658813 entropy: -0.020979739725589752 action: tensor([-6.2101,  1.0000])
chkpt: 112 epoch: 3 step: 201 score: -2.5999999999999748 loss: 0.14368094503879547 entropy: -0.02075771987438202 action: tensor([-2.4406,  1.0000])
chkpt: 112 epoch: 4 step: 140 score: -12.190000000000001 loss: 0.44896209239959717 entropy: -0.029612651094794273 action: tensor([10.7903,  1.0000])
chkpt: 112 epoch: 5 step: 201 score: -27.600000000000037 loss: 0.528009831905365 entropy: -0.020509736612439156 action: tensor([-7.7777,  1.0000])
chkpt: 112 epoch: 6 step: 201 score: -21.79999999999998 loss: 0.4592583179473877 entropy: -0.02037445642054081 action: tensor([11.2812,  1.0000])
chkpt: 112 epoch: 7 step: 201 score: -2.6000000000000005 loss: 0.06321169435977936 entropy: -0.02032596431672573 action: tensor([15.5869,  1.0000])
chkpt: 112 epoch: 8 step: 201 score: 6.20000000000001 loss: -0.060847051441669464 entropy: -0.020233171060681343 action: tensor([-8.7127,  1.0000])
chkpt: 112 epoch: 9 step: 201 score: -16.799999999999994 loss: 0.41346633434295654 entropy: -0.020119475200772285 action: tensor([2.5171, 1.0000])
chkpt: 112 epoch: 10 step: 201 score: -13.399999999999983 loss: 0.390627384185791 entropy: -0.02011735551059246 action: tensor([23.4062,  1.0000])
chkpt: 112 epoch: 11 step: 113 score: -23.919999999999998 loss: 1.041257619857788 entropy: -0.0357215590775013 action: tensor([-12.3108,   1.0000])
chkpt: 112 epoch: 12 step: 178 score: -1.7699999999999871 loss: -0.03305996581912041 entropy: -0.02252359129488468 action: tensor([12.9403,  1.0000])
chkpt: 112 epoch: 13 step: 201 score: 10.799999999999997 loss: -0.11970117688179016 entropy: -0.019829871132969856 action: tensor([33.8146,  1.0000])
chkpt: 112 epoch: 14 step: 201 score: 13.59999999999999 loss: -0.2624826431274414 entropy: -0.019721126183867455 action: tensor([-7.7392,  1.0000])
chkpt: 112 epoch: 15 step: 201 score: 5.200000000000019 loss: -0.025034885853528976 entropy: -0.019658615812659264 action: tensor([2.6124, 1.0000])
